image,label
8449e8c0-1b77-4232-aa60-8fb9eb103b3b,tricorn
9ec6ed08-879d-4171-9a8c-aef547aab7f6,tricorn
f7ba9df1-4dd4-4426-bb19-eacab1dd3daf,tricorn
71b42bd0-c76f-47aa-93c4-632efd7a95c7,tricorn
d13467fc-518a-41fa-a63b-431c186df173,tricorn
06e905bf-48c3-48d8-8f5a-9c5feacf3133,tricorn
37166131-c191-4018-86ff-f01c1ac98eb6,tricorn
72ff62cf-e3d3-44f9-a4b9-d61462ea75e9,tricorn
25f0edd5-7a5a-45b3-92e3-7990afda5fa7,tricorn
e1051f3b-1dea-456f-a4c9-28f0363aecac,tricorn
a2b63f53-dfeb-4364-9ced-f9a6098059d8,tricorn
e70154d5-3423-40ac-8de1-e3383f31371b,tricorn
697c95ec-e395-4280-aefe-58a96f5dbd1b,tricorn
29ae6393-b86e-4e24-afd4-fa1b42730e21,tricorn
d8e9d78f-358a-438a-96c4-7b0121d206b8,tricorn
b24d0d4e-e3d2-4195-970b-74f19caed82e,tricorn
0dee9632-3a44-4f49-b1ec-d06ac5332506,tricorn
11a81592-97bc-415b-ba5d-52fa00ac7f77,tricorn
a61a7ff1-b485-461d-a67d-5c4318d3cc4e,tricorn
6114be22-71f6-4d38-806a-a052b8851704,tricorn
b353408d-33d1-450a-813f-ba1ffb0e53f9,tricorn
ccb94754-2cf9-4a43-a292-44d5d9ca04fb,tricorn
b2abf504-4b20-44f3-bc0c-b5c1ff28a98d,tricorn
7a93bc49-dfd8-4dad-be60-ee3f2fbeced1,tricorn
0bcc92bc-df6d-4235-9181-1d4eab8c14d0,tricorn
cc6d10be-d1c9-4898-9827-e8bc1be20e52,tricorn
2368c1c0-e561-4b1b-a55e-0ce1a55557da,tricorn
74778f10-feb4-42dd-a0d3-e1f02420b596,tricorn
f2f6fec2-a7d4-4b13-b2b4-f753dfa6ae03,tricorn
1e23443a-59c0-4a1e-ad60-854ad3e92259,tricorn
6d536550-9837-4e29-b08e-ab90f21728eb,tricorn
28c3633c-449a-4469-8341-d90353b4c058,tricorn
045cf73f-d474-4c47-9607-60532d19a24b,tricorn
34f7b563-e153-4c68-a88d-6b31179b49b3,tricorn
39aa63fe-f7f1-43b4-87d7-9b17ce5f5fd0,tricorn
be06a5a0-f43a-4b9d-bd57-038e0aac8bff,tricorn
c840014b-8476-40a5-b57e-3011789f2b3a,tricorn
5cf0f7b1-4c2e-4d67-9d7b-5fbc62ceebe6,tricorn
88a291dd-4d0d-4bbe-a27e-7e9eed244446,tricorn
49220824-1204-4e68-8130-0b8051736e7f,tricorn
54b04fb6-ef6a-49cb-859e-67d3a41f909d,tricorn
7b45ae16-ecc7-47b5-8d46-e5b1c9c00ca6,tricorn
60e360f2-f71e-4ca5-92b8-fa87a95ae3f7,tricorn
eea469a5-14e7-4edc-a414-b6d2e01e4403,tricorn
75a8b002-6444-4e35-86b8-16164dc1a8d8,tricorn
ccc25b52-bc48-4a92-92a8-73776214f259,tricorn
9a47f381-9738-455b-8478-114bc8edfa48,tricorn
400def1f-dd2a-4c5e-a284-7541e8621697,tricorn
ed54371a-b270-4609-8884-47c6f05ecd8a,tricorn
447a5bad-a6e4-4a7e-a520-d244aa5434ab,tricorn
6e82fc3e-d8a4-4fb5-b8f6-39d81e8d2182,tricorn
e255533b-342e-48a1-9e1c-e3f00d6a39bf,tricorn
2f94736c-bb9c-4ace-9874-175aaebb9d0d,tricorn
7005be8b-21c6-4ecb-84b3-dc1ca20c7adf,tricorn
9dcb181a-82ad-4897-9a3f-983744cbcb8a,tricorn
6dc5776b-9010-44d5-b0ff-c74599a09111,tricorn
29c1cd50-1a61-4962-8fe1-244c70a3e597,tricorn
67dd27b7-c573-4cf9-8103-16c2502daf6e,tricorn
7d2b9137-5624-4d2d-9419-e6eabc2d3082,tricorn
c8a33501-a7ad-4eb1-816e-be9051aa2fbe,tricorn
3a6048a0-30ad-4294-9afb-4ea9e2a9226d,tricorn
488cfd28-db50-4464-8fea-da70e2c812a0,tricorn
122b3125-4461-4bfb-aab6-277f826fa870,tricorn
88d0b3aa-15ab-406c-b7d6-0c53a36f9f1a,tricorn
1b0982e0-2114-4252-8269-04c036c7fe31,tricorn
b0366e43-a031-425f-85d2-43ee2fdb88c4,tricorn
d5edc105-f754-40b1-b9a2-227662f6e85a,tricorn
5c16e56a-35f2-4489-b80b-df94cf70c150,tricorn
15f03c59-56f4-4d1e-84d1-ca17ab745f45,tricorn
34d4096a-3748-4f4c-bb71-43d18801eb0c,tricorn
2b494fbf-1afa-42a9-8287-5537f8899eb1,tricorn
4606ee64-5523-4524-862c-e63e64c85c6e,tricorn
52acb0a6-03d9-4fa4-afa0-3b49aab4d0d5,tricorn
a2c8b350-f1c9-4387-b683-2ccc89bf6158,tricorn
f8a360bc-3432-4df9-8830-96cea4433563,tricorn
456a708f-160a-4239-985c-b921ba8d011e,tricorn
498a5ee3-bd10-4f37-b620-3f26c4530c17,tricorn
b0fa7827-1b83-41af-9543-082a90a2ea1f,tricorn
e5b8fcd8-16fe-4696-9217-5eb659566e3b,tricorn
1b2782a5-48ee-4227-8970-97787eb78e09,tricorn
b5a72623-9a5a-4272-a768-ef98c7bf56a8,tricorn
7744233a-22ac-471d-8d25-ca6308e0bd20,tricorn
b49e651c-3d2c-4cb8-8b93-e5894257c7e2,tricorn
f5a93554-0c10-4579-ac75-28388a8c22d5,tricorn
f1c323a7-711e-435b-ba27-cde04f729998,tricorn
16a1d66c-94a3-48f7-92b7-e2bb8772e756,tricorn
90e9f07a-4e25-48a5-aec6-46aa0c00ed0c,tricorn
6d3a638b-e799-400f-9fea-bcb57353cfed,tricorn
b09b0bf1-5b36-43e4-be64-1516a5e6763b,tricorn
c872ec6c-e4b5-445e-a338-fbea6980a7c5,tricorn
74b2a03c-7bc8-4608-85f6-53716ad3ec9f,tricorn
0e4f4127-abca-4168-aede-b4d175a55841,tricorn
4e62e42c-806f-487a-bad9-caad5cb1ac65,tricorn
2f69ef40-2e60-4d53-9e73-161e6bfabcfe,tricorn
1c68c996-5da1-4942-979e-5e1ac9ba866f,tricorn
64c5b40b-7593-461e-b403-b03801142fb0,tricorn
0b0dd060-5308-483a-bdae-b1696696d653,tricorn
5710d054-5b44-4ac0-86ce-4f6adac30f80,tricorn
58f058cc-c447-413a-9781-991b3bb33e71,tricorn
6a062761-5a93-4cc9-887a-10b4e6bcfd59,tricorn
dc47dab1-8b5a-4920-8a8f-12573be7ff5f,tricorn
5e00808e-7056-4fae-aaeb-bafd1d294864,tricorn
40f25e1e-6baf-40f8-a26c-b71a62e42ea5,tricorn
1c5c9a70-9ffe-41aa-9780-038272fdcaed,tricorn
23247ff1-ec67-4735-bacc-b37e8bd996e3,tricorn
b39e2e05-ed0f-4b5e-9cff-9ea69b24cd16,tricorn
2ed05b56-2c42-4f2e-a689-e778ad815f1d,tricorn
b61598c6-d439-451d-93b6-c03a3639435d,tricorn
a40c2828-cefc-4119-aa81-4b91aec5315f,tricorn
29926ac6-44ed-48dc-846c-9a1d0b2cc0ed,tricorn
6a7238a0-0267-4421-a6bf-5bed11ee1caa,tricorn
1e2982d5-874d-4c68-8296-f294301248b0,tricorn
ce55fc7c-4aff-4e32-83de-b09c68a0d490,tricorn
5260e35c-2131-454d-8093-9b5156287d3c,tricorn
f48eac8f-14f1-418e-8884-8a3b4e17c801,tricorn
e0817378-fc63-4d4f-8df3-7e03b1bb1f3c,tricorn
c554c8bb-d44e-4c3b-b6b0-2ca9b05dc6ac,tricorn
379fb284-f4af-40ab-b78d-9e831e8ac4aa,tricorn
72f1fe05-60d9-4338-8610-7e8486bf7abc,tricorn
d082eadc-1ec8-4257-9717-d6094579a7e7,tricorn
838a3b67-3c56-40f7-8f53-e80465fab050,tricorn
aabf75f9-cf7c-4ab0-a709-ea1504746d29,tricorn
e175147b-28eb-4718-84ff-541bd2d4666e,tricorn
346240d9-3477-4f7b-b899-7cf5adf102f2,tricorn
abf372d9-3c18-4be8-8194-c4d4b6047c1e,tricorn
2945abe2-1a5d-4a24-b1c8-aa4161f148c5,tricorn
8d83598b-2279-4d77-be70-ede8012b91bf,tricorn
5a43df38-31ca-4e59-9098-6b862137535b,tricorn
12e39a4b-bc47-4f11-8263-32e9070bcaa7,tricorn
25fcd488-d5a7-4858-afcb-d48f16a30139,tricorn
1b11f77b-0c7b-4cda-8355-2f286a97a9ed,tricorn
8b794ea8-a1d3-4127-ba9f-9fd1e8bc5ef6,tricorn
ed79384b-5e15-4869-afe3-3bca7f6e16eb,tricorn
9f9376cd-0cce-4f37-8ce2-0b11b8a95e02,tricorn
a37e4a2b-7b9f-42f6-9a97-9cfc993bb8ac,tricorn
33a6ffd6-1de6-495e-90b6-b898ca235ce1,tricorn
a7acbbc9-9e73-490b-8d76-05e54a11f0a2,tricorn
cedbbf9d-7e6a-4d42-a5cc-2604b8d0fd72,tricorn
e68e8bf0-1458-41f4-97cc-d91d4e1a89c3,tricorn
8466e8a7-62ae-4584-a27f-48d1b155d0ca,tricorn
dc63ee7d-57e6-470b-b246-2b75ca0d7e21,tricorn
96beafc3-aba6-4df0-bfc0-bff1e947e2f2,tricorn
c8735f17-1df9-4d1c-be36-86303bcbe005,tricorn
ccf54498-4912-4ed2-951b-4c3c1025e490,tricorn
32b66fea-42c5-4b96-877e-39b97fd09846,tricorn
c057a9e4-c4da-47a7-a3d6-42f617336fcd,tricorn
fb5dbe17-86fb-42c0-9984-2d8c8c0ea23a,tricorn
235cf7ef-61f4-4c5d-ab8d-a77d07cf79cf,tricorn
71d3b541-3bc2-4234-a381-09445be41d45,tricorn
52d05921-e564-40b8-a32f-e4c798c1aab3,tricorn
6e25dc9d-631c-4f89-afc1-b62ca5507e93,tricorn
07a3cae6-89b6-4eac-b1ff-b966db9cde67,tricorn
dab51529-dbf1-460d-af0f-616e90bd1df0,tricorn
ffe949e4-6c81-4315-b373-f5500257360d,tricorn
7abe88df-1f1f-4b2d-8ffd-62abba404bc9,tricorn
