image,label
d5ff998e-ecfb-4459-b020-a64829f6321d,tricorn
afff00ac-5b15-42de-891a-7a80ce10d880,tricorn
520c77ce-ece6-4ca9-946e-6aff493c17fc,tricorn
ae0139a1-8407-48b1-bcf0-5a035e1c6598,tricorn
0ebd5d02-79ca-4a56-94de-86f29ade57b8,tricorn
65341171-ab42-4e17-860a-7c894f8b7823,tricorn
78b24866-0326-4725-8fae-887871701173,tricorn
62d31fdf-9be2-443a-8a31-db7f780c64f0,tricorn
9a91260a-3171-483c-84a3-718366957e7d,tricorn
0390eecb-2260-41b6-81c6-34e635f44da1,tricorn
8aa0fe79-6547-407d-98e9-8501f71eeeb2,tricorn
5026a667-d026-492c-95f4-0543cb0c3ac9,tricorn
922313b2-5643-4f41-8acd-515a7107615e,tricorn
e841a1c6-401f-490b-9b40-9ae54c496465,tricorn
ad4e2159-afa6-4626-9754-baae8fa0b04d,tricorn
e96b5ee8-ec7b-4131-b162-5913f953b316,tricorn
cb9422b8-c572-4216-bc06-278c014e340a,tricorn
1b3dd673-c53c-49f1-b3e9-11553e3d8a02,tricorn
6e40e24e-b5c0-42ba-98d3-f2bd42facba6,tricorn
8e85a7eb-184d-4635-97fe-6d08ee83f4d2,tricorn
5d7b248a-f907-4e04-ad9a-839584011b64,tricorn
2b56938b-4686-4e49-a566-f36922bc8630,tricorn
a85b2563-a383-47aa-b79d-3ca4217693cb,tricorn
3712a868-0c62-49a2-856d-33f91255a2b5,tricorn
e1fa8635-4d09-49a1-b5cc-662e4feeabf5,tricorn
d08cf4fb-5fb1-40da-978d-046eacf9f7a6,tricorn
a99e5f73-f058-44c6-bc89-2584fca3bb16,tricorn
4375a7f9-e5ef-47cc-becb-57c0b0ecb3d5,tricorn
52fb7715-3930-4521-8e27-db3b566d5b20,tricorn
13a3ac18-7233-474b-98af-a39c1525b361,tricorn
5aa4ea1c-a19d-4b1b-b724-1497b4acc275,tricorn
8bda56d5-255d-40c9-b423-fffb83bd807d,tricorn
5aa4c610-97fe-4c11-90f7-b98757f284cd,tricorn
1439db15-69e6-4a28-87b9-033445939354,tricorn
ff0ad9d7-754f-49ed-87d3-9a9be1837a0f,tricorn
fae60686-3eee-4131-a019-9a544e0d0708,tricorn
49c34446-06f3-4f1f-8edf-32a3aee1e29b,tricorn
6fcbf58e-798e-406a-b869-313a57bea5bb,tricorn
1763144d-a6da-49de-b5c3-8717ec8d1d95,tricorn
62f925ae-5c5d-4497-92cd-e650bf596887,tricorn
5723d844-4e58-49a0-bff2-93a32fbeb0ce,tricorn
95ba1a09-a8a9-4cd4-963f-a15bd65fce82,tricorn
ed798540-7ff5-4e31-95f9-4a8f866c3d10,tricorn
7f79f92a-a88e-4543-8888-762c3293d36d,tricorn
e8ec88cd-c828-4083-8a7f-4c430cca93b1,tricorn
8bfa380d-9f3f-4615-b438-8071345618a8,tricorn
33283d97-83d2-474b-87a4-0947709674d0,tricorn
71046d51-a71e-4fe2-b937-917f742122ca,tricorn
0a68bebc-9ed5-452b-a8f9-ed2ac194a7d9,tricorn
b2247195-e8c8-4067-82f6-83020f391670,tricorn
43255159-5151-48c3-bb45-9842ac9f97c7,mandelbrot
3f7bdc44-a338-4dca-a75d-79eff7b0d0fa,mandelbrot
cbc91513-e333-434f-8d48-caff799a90ef,mandelbrot
